from,to,courses_added,courses_removed,net_course_change,programs_added,programs_removed,net_program_change,version_changes,notes
2017-01,2017-03,7,13,-6,0,1,-1,13,
2017-03,2017-05,0,0,0,0,0,0,1,
2017-05,2017-07,101,74,27,1,6,-5,22,
2017-07,2017-08,1,1,0,0,0,0,0,
2017-08,2017-09,4,0,4,1,1,0,2,
2017-09,2017-10,9,6,3,1,1,0,4,
2017-10,2017-11,1,2,-1,0,0,0,4,
2017-11,2017-12,2,0,2,0,0,0,1,
2017-12,2018-01,0,2,-2,0,1,-1,2,
2018-01,2018-02,2,2,0,0,0,0,1,
2018-02,2018-03,0,0,0,0,0,0,0,
2018-03,2018-04,7,5,2,0,0,0,2,
2018-04,2018-05,40,21,19,12,11,1,0,
2018-05,2018-06,3,1,2,6,6,0,0,
2018-06,2018-07,9,2,7,2,2,0,1,
2018-07,2018-08,2,5,-3,0,0,0,5,
2018-08,2018-09,4,2,2,4,4,0,0,
2018-09,2018-10,16,1,15,1,0,1,0,
2018-10,2018-11,0,0,0,0,0,0,0,
2018-11,2018-12,6,5,1,0,0,0,9,
2018-12,2019-01,5,6,-1,0,0,0,1,
2019-01,2019-02,1,1,0,0,0,0,1,
2019-02,2019-03,0,0,0,0,0,0,0,
2019-03,2019-04,13,7,6,1,1,0,1,
2019-04,2019-05,0,0,0,0,0,0,0,
2019-05,2019-06,0,0,0,0,0,0,0,
2019-06,2019-07,0,0,0,0,0,0,0,
2019-07,2019-08,5,14,-9,0,1,-1,1,
2019-08,2019-09,26,0,26,1,0,1,0,
2019-09,2019-10,0,0,0,0,0,0,0,
2019-10,2019-11,0,0,0,0,0,0,0,
2019-11,2019-12,0,0,0,0,0,0,0,
2019-12,2020-01,1,4,-3,0,0,0,1,
2020-01,2020-02,21,20,1,7,6,1,0,
2020-02,2020-03,9,0,9,0,0,0,3,
2020-03,2020-04,0,0,0,1,1,0,0,
2020-04,2020-05,0,0,0,0,0,0,1,
2020-05,2020-06,0,5,-5,1,2,-1,0,
2020-06,2020-07,54,65,-11,0,0,0,18,
2020-07,2020-08,0,0,0,0,0,0,0,
2020-08,2020-09,6,8,-2,0,0,0,10,
2020-09,2020-10,39,30,9,0,0,0,9,
2020-10,2020-11,44,9,35,2,2,0,8,
2020-11,2020-12,9,34,-25,2,1,1,8,
2020-12,2021-01,3,3,0,0,0,0,1,
2021-01,2021-02,0,0,0,0,0,0,0,
2021-02,2021-03,16,0,16,1,0,1,0,
2021-03,2021-04,0,0,0,0,0,0,1,
2021-04,2021-05,0,0,0,0,0,0,1,
2021-05,2021-06,0,0,0,0,0,0,0,
2021-06,2021-07,0,0,0,0,0,0,0,
2021-07,2021-08,0,0,0,0,0,0,0,
2021-08,2021-09,13,5,8,0,2,-2,7,
2021-09,2021-10,2,1,1,0,0,0,1,
2021-10,2021-11,0,0,0,0,0,0,0,
2021-11,2021-12,0,0,0,0,0,0,0,
2021-12,2022-01,21,8,13,2,0,2,4,
2022-01,2022-02,2,2,0,0,0,0,6,
2022-02,2022-03,0,0,0,0,0,0,0,
2022-03,2022-04,8,0,8,1,0,1,0,
2022-04,2022-05,30,7,23,1,1,0,0,
2022-05,2022-06,19,2,17,3,0,3,2,
2022-06,2022-07,0,0,0,0,0,0,0,
2022-07,2022-08,13,4,9,2,1,1,0,
2022-08,2022-09,0,0,0,0,0,0,0,
2022-09,2022-10,0,0,0,1,0,1,0,
2022-10,2022-11,0,13,-13,0,2,-2,0,
2022-11,2022-12,34,26,8,2,1,1,0,
2022-12,2023-01,45,35,10,6,3,3,0,
2023-01,2023-02,12,8,4,0,0,0,2,
2023-02,2023-03,0,0,0,0,0,0,0,
2023-03,2023-04,23,12,11,2,1,1,0,
2023-04,2023-05,10,14,-4,2,0,2,2,
2023-05,2023-06,0,0,0,0,0,0,0,
2023-06,2023-07,0,1,-1,0,0,0,3,
2023-07,2023-08,18,25,-7,3,2,1,1,
2023-08,2023-09,0,2,-2,2,0,2,2,
2023-09,2023-10,0,0,0,0,0,0,0,
2023-10,2023-11,0,0,0,3,0,3,0,
2023-11,2023-12,12,41,-29,1,0,1,16,
2023-12,2024-01,14,1,13,0,0,0,2,
2024-01,2024-02,24,0,24,2,0,2,2,
2024-02,2024-03,5,5,0,0,0,0,2,
2024-03,2024-04,3,1,2,1,0,1,5,
2024-04,2024-05,0,0,0,0,0,0,0,
2024-05,2024-06,37,20,17,4,1,3,1,
2024-06,2024-07,12,0,12,1,0,1,0,
2024-07,2024-08,21,0,21,4,0,4,1,
2024-08,2024-09,57,34,23,9,4,5,3,cert_section_added
2024-09,2024-10,46,55,-9,4,1,3,7,
2024-10,2024-11,0,0,0,1,1,0,0,
2024-11,2024-12,0,0,0,0,0,0,0,
2024-12,2025-01,7,1,6,4,4,0,0,
2025-01,2025-02,110,48,62,13,1,12,13,
2025-02,2025-03,0,53,-53,0,5,-5,0,
2025-03,2025-04,0,0,0,0,0,0,0,
2025-04,2025-05,0,0,0,1,1,0,0,
2025-05,2025-06,0,0,0,0,0,0,0,
2025-06,2025-07,12,4,8,7,0,7,1,
2025-07,2025-08,11,9,2,4,5,-1,2,
2025-08,2025-09,0,0,0,0,0,0,2,
2025-09,2025-10,0,0,0,0,0,0,0,
2025-10,2025-11,0,0,0,0,0,0,0,
2025-11,2025-12,10,12,-2,0,0,0,1,
2025-12,2026-01,0,0,0,0,0,0,0,
2026-01,2026-02,20,19,1,3,3,0,1,
2026-02,2026-03,0,1,-1,0,0,0,18,
