program_code,status,first_seen,last_seen,edition_count,span_months,versions_seen,version_changes,version_progression,colleges,college_count,cus_values,degree_heading_count,degree_headings
BAELED,ACTIVE,2018-07,2026-03,93,92,201808 | 202007 | 202308 | 202402 | 202411 | 202603,5,2018-07:201808 → 2020-07:202007 → 2023-07:202308 → 2023-12:202402 → 2024-09:202411 → 2026-03:202603,Teachers College | School of Education,2,119 | 120,2,"Bachelor of Arts, Elementary Education | Master of Arts in Teaching programs are the choice for you. These teacher-prep programs qualify you to become"
BAESELED,ACTIVE,2024-08,2026-03,20,19,202402 | 202411 | 202603,2,2024-08:202402 → 2024-09:202411 → 2026-03:202603,School of Education,1,96 | 98,1,"Bachelor of Arts, Educational Studies in Elementary Education"
BAESMEMG,RETIRED,2024-09,2025-02,6,5,202402,0,2024-09:202402,School of Education,1,97,1,"Bachelor of Arts, Educational Studies in Middle Grades Mathematics Education"
BAESMES,ACTIVE,2024-09,2026-03,19,18,202402 | 202504 | 202603,2,2024-09:202402 → 2025-02:202504 → 2026-03:202603,School of Education,1,107 | 113,1,"Bachelor of Arts, Educational Studies in Secondary Mathematics Education"
BAESSEMG,RETIRED,2024-09,2025-02,6,5,202402,0,2024-09:202402,School of Education,1,99,1,"Bachelor of Arts, Educational Studies in Middle Grades Science Education"
BAESSESB,ACTIVE,2024-09,2026-03,19,18,202402 | 202504 | 202603,2,2024-09:202402 → 2025-02:202504 → 2026-03:202603,School of Education,1,97 | 102,1,"Bachelor of Arts, Educational Studies in Secondary Biological Science Education"
BAESSESC,ACTIVE,2024-09,2026-03,19,18,202402 | 202504 | 202603,2,2024-09:202402 → 2025-02:202504 → 2026-03:202603,School of Education,1,102 | 104,1,"Bachelor of Arts, Educational Studies in Secondary Chemistry Science Education"
BAESSESE,ACTIVE,2024-09,2026-03,19,18,202402 | 202504 | 202603,2,2024-09:202402 → 2025-02:202504 → 2026-03:202603,School of Education,1,99 | 102,1,"Bachelor of Arts, Educational Studies in Secondary Earth Science Education"
BAESSESP,ACTIVE,2024-09,2026-03,19,18,202402 | 202504 | 202603,2,2024-09:202402 → 2025-02:202504 → 2026-03:202603,School of Education,1,102 | 106,1,"Bachelor of Arts, Educational Studies in Secondary Physics Science Education"
BAESSPEE,ACTIVE,2024-09,2026-03,19,18,202402 | 202412 | 202603,2,2024-09:202402 → 2024-10:202412 → 2026-03:202603,School of Education,1,113 | 124,1,"Bachelor of Arts, Educational Studies in Special and Elementary Education"
BAESSPMM,ACTIVE,2024-09,2026-03,19,18,202402 | 202412 | 202603,2,2024-09:202402 → 2024-10:202412 → 2026-03:202603,School of Education,1,98 | 103,1,"Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education"
BAISK8,RETIRED,2017-01,2018-06,15,17,201703 | 201708 | 201709,2,2017-01:201703 → 2017-03:201708 → 2017-07:201709,Teachers College,1,120 | 123 | 126,1,"Bachelor of Arts, Interdisciplinary Studies (K-8)"
