scope,course_code,title,cus,program_count,colleges,programs
AP,AFT2,Accreditation Audit,4,1,School of Business,"Master of Business Administration, Healthcare Administration"
AP,AIT2,Organic Chemistry,2,1,School of Education,Master of Arts Science Education (Secondary Chemistry)
AP,AMT2,Service Line Development,4,1,School of Business,"Master of Business Administration, Healthcare Administration"
AP,AOA2,Number Sense and Functions,4,1,School of Education,"Master of Arts, Mathematics Education (K-6)"
AP,ASA1,Assessment Theory and Practice,3,2,School of Education,"Endorsement Preparation Program, English Language Learning; Master of Arts, English Language Learning"
AP,AUA2,"Graphing, Proportional Reasoning and",4,1,School of Education,"Master of Arts, Mathematics Education (K-6)"
AP,AVA2,Geometry and Statistics,4,1,School of Education,"Master of Arts, Mathematics Education (K-6)"
AP,BVT2,Physical Chemistry,2,1,School of Education,Master of Arts Science Education (Secondary Chemistry)
AP,BWT2,Inorganic Chemistry,2,1,School of Education,Master of Arts Science Education (Secondary Chemistry)
AP,BYT2,Physics: Mechanics,2,1,School of Education,Master of Arts Science Education (Secondary Physics)
AP,BZT2,Physics: Waves and Optics,2,1,School of Education,Master of Arts Science Education (Secondary Physics)
AP,C100,Introduction to Humanities,3,1,School of Business,"Bachelor of Science, Information Technology Management"
AP,C121,Survey of United States History,3,1,School of Business,"Bachelor of Science, Information Technology Management"
AP,C165,Integrated Physical Sciences,3,24,Leavitt School of Health; School of Business; School of Education; School of Technology,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education; Bachelor of Arts, Educational Studies in Secondary Mathematics Education; Bachelor of Arts, Educational Studies in Special and Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Cloud and Network Engineering; Bachelor of Science, Cloud and Network Engineering - Amazon Web Services; Bachelor of Science, Cloud and Network Engineering - Cisco; Bachelor of Science, Cloud and Network Engineering - Microsoft Azure; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Health Science; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, Mathematics Education (Secondary); Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design"
AP,C168,Critical Thinking and Logic,3,1,School of Business,"Bachelor of Science, Information Technology Management"
AP,C172,Network and Security - Foundations,3,1,School of Business,"Bachelor of Science, Information Technology Management"
AP,C175,Data Management - Foundations,3,1,School of Business,"Bachelor of Science, Information Technology Management"
AP,C179,Business of IT - Applications,4,1,School of Business,"Bachelor of Science, Information Technology Management"
AP,C180,Introduction to Psychology,3,10,Leavitt School of Health,"Bachelor of Science in Psychology; Bachelor of Science, Health Information Management; Bachelor of Science, Health Science; Bachelor of Science, Health and Human Services; Bachelor of Science, Nursing; Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Public Health; Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C190,Introduction to Biology,3,10,Leavitt School of Health; School of Education,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education; Bachelor of Arts, Educational Studies in Special and Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science in Psychology; Bachelor of Science, Health Information Management; Bachelor of Science, Health and Human Services; Bachelor of Science, Public Health"
AP,C200,Managing Organizations and Leading People,3,7,School of Business,"MBA, IT Management; Master of Business Administration; Master of Business Administration, Healthcare Administration; Master of Science in Marketing, Digital Marketing Specialization; Master of Science in Marketing, Marketing Analytics Specialization; Master of Science, Human Resource Management; Master of Science, Management and Leadership"
AP,C201,Business Acumen,3,2,School of Business,"Master of Science, Human Resource Management; Master of Science, Management and Leadership"
AP,C202,Managing Human Capital,3,4,School of Business,"MBA, IT Management; Master of Business Administration; Master of Science, Human Resource Management; Master of Science, Management and Leadership"
