program_code,likely_guide_family,parseability_confidence,page_count,standard_path_row_count,competency_trigger_count,competency_bullet_count,has_standard_path,has_areas_of_study,has_capstone_section,has_course_descriptions,has_competency_bullets,has_term_structure,has_cu_values,has_cert_prep_mentions,has_prereq_mentions,has_accreditation_section,has_boilerplate_closing
MACC,accounting_ma,medium,0,0,10,64,True,True,False,True,True,False,False,True,False,True,True
MACCA,accounting_ma,medium,0,0,10,46,True,True,False,True,True,False,False,True,True,True,True
MACCF,accounting_ma,medium,0,0,11,55,True,True,False,True,True,False,False,True,True,True,True
MACCM,accounting_ma,medium,0,0,10,48,True,True,False,True,True,False,False,True,True,True,True
MACCT,accounting_ma,medium,0,0,10,44,True,True,False,True,True,False,False,True,True,True,True
MSCSAIML,cs_grad,medium,0,0,10,44,True,True,False,True,True,False,False,False,True,True,True
MSCSCS,cs_grad,medium,0,0,10,44,True,True,False,True,True,False,False,False,True,True,True
MSCSHCI,cs_grad,medium,0,0,10,46,True,True,False,True,True,False,False,False,True,True,True
MSCSIA,cs_grad,high,0,0,10,68,True,True,True,True,True,False,False,True,True,True,True
MSCSUG,cs_grad,medium,0,0,37,181,True,True,False,True,True,False,False,True,True,True,True
BSCNE,cs_ug,medium,0,0,34,167,True,True,False,True,True,False,False,True,True,True,True
BSCNEAWS,cs_ug,medium,0,0,35,171,True,True,False,True,True,False,False,True,True,True,True
BSCNEAZR,cs_ug,medium,0,0,35,173,True,True,False,True,True,False,False,True,True,True,True
BSCNECIS,cs_ug,medium,0,0,32,158,True,True,False,True,True,False,False,True,True,True,True
BSCS,cs_ug,medium,0,0,37,178,True,True,False,True,True,False,False,True,True,True,True
BSCSIA,cs_ug,high,0,0,38,226,True,True,True,True,True,False,False,True,True,True,True
BSSWE_C,cs_ug,medium,0,0,35,170,True,True,False,True,True,False,False,True,True,True,True
BSSWE_Java,cs_ug,medium,0,0,38,178,True,True,False,True,True,False,False,True,True,True,True
MSDADE,data_analytics_grad,medium,0,0,11,49,True,True,False,True,True,False,False,False,True,True,True
MSDADPE,data_analytics_grad,medium,0,0,11,59,True,True,False,True,True,False,False,True,True,True,True
MSDADS,data_analytics_grad,medium,0,0,11,48,True,True,False,True,True,False,False,False,True,True,True
BAELED,education_ba,medium,0,0,37,168,True,True,False,True,True,False,False,False,True,True,True
BAESELED,education_ba,medium,0,0,33,152,True,True,False,True,True,False,False,False,True,True,True
BAESMES,education_ba,medium,0,0,35,157,True,True,False,True,True,False,False,True,True,True,True
BAESSESB,education_ba,medium,0,0,37,152,True,True,False,True,True,False,False,True,True,True,True
BAESSESC,education_ba,medium,0,0,36,152,True,True,False,True,True,False,False,True,True,True,True
BAESSESE,education_ba,medium,0,0,37,151,True,True,False,True,True,False,False,True,True,True,True
BAESSESP,education_ba,medium,0,0,36,151,True,True,False,True,True,False,False,True,True,True,True
BAESSPEE,education_ba,medium,0,0,41,180,True,True,False,True,True,False,False,False,True,True,True
BAESSPMM,education_ba,medium,0,0,34,150,True,True,False,True,True,False,False,False,True,True,True
BASPEE,education_ba,medium,0,0,45,197,True,True,False,True,True,False,False,False,True,True,True
BASPMM,education_ba,medium,0,0,38,167,True,True,False,True,True,False,False,False,True,True,True
BSSESB,education_bs,medium,0,0,41,169,True,True,False,True,True,False,False,True,True,True,True
BSSESC,education_bs,medium,0,0,40,168,True,True,False,True,True,False,False,True,True,True,True
BSSESE,education_bs,medium,0,0,41,167,True,True,False,True,True,False,False,True,True,True,True
BSSESP,education_bs,medium,0,0,40,167,True,True,False,True,True,False,False,True,True,True,True
MEDETID,education_grad,high,0,0,12,55,True,True,True,True,True,False,False,False,True,True,True
MSEDL,education_grad,medium,0,0,13,54,True,True,False,True,True,False,False,False,True,True,True
MAELLP12,education_ma,medium,0,0,11,65,True,True,False,True,True,False,False,False,True,True,True
MAMEK6,education_ma,high,0,0,10,65,True,True,True,True,True,False,False,False,True,True,True
MAMEMG,education_ma,high,0,0,14,93,True,True,True,True,True,False,False,False,True,True,True
MAMES,education_ma,medium,0,0,18,104,True,True,False,True,True,False,False,False,True,True,True
MASEMG,education_ma,medium,0,0,14,86,True,True,False,True,True,False,False,False,True,True,True
MASESB,education_ma,medium,0,0,13,90,True,True,False,True,True,False,False,False,True,True,True
MASESC,education_ma,medium,0,0,14,96,True,True,False,True,True,False,False,False,True,True,True
