course_code,canonical_title_current,observed_titles,first_seen_edition,last_seen_edition,active_current,contexts_seen,current_programs,current_program_count,historical_programs,historical_program_count,edition_count,ghost_flag,single_appearance_flag,stability_class,title_variant_class,current_title_confidence,canonical_cus,current_college,colleges_seen,notes_confidence
AFT2,Accreditation Audit,Accreditation Audit,2017-01,2026-03,True,AP,"Master of Business Administration, Healthcare Administration",1,"MBA, Healthcare Management; Master of Business Administration, Healthcare Administration",2,108,False,False,perpetual,none,high,4,School of Business,College of Business | School of Business,
AIT2,Organic Chemistry,Organic Chemistry,2017-01,2026-03,True,AP,Master of Arts Science Education (Secondary Chemistry),1,"Master of Arts Science Education (Secondary Chemistry); Master of Arts, Science Education (5-12, Chemistry)",2,108,False,False,perpetual,none,high,2,School of Education,School of Education | Teachers College,
AMT2,Service Line Development,Service Line Development,2017-01,2026-03,True,AP,"Master of Business Administration, Healthcare Administration",1,"MBA, Healthcare Management; Master of Business Administration, Healthcare Administration",2,108,False,False,perpetual,none,high,4,School of Business,College of Business | School of Business,
AOA2,Number Sense and Functions,Number Sense and Functions,2017-01,2026-03,True,AP,"Master of Arts, Mathematics Education (K-6)",1,"Master of Arts, Mathematics Education (K-6)",1,108,False,False,perpetual,none,high,4,School of Education,School of Education | Teachers College,
ASA1,Assessment Theory and Practice,Assessment Theory and Practice,2017-01,2026-03,True,AP,"Endorsement Preparation Program, English Language Learning; Master of Arts, English Language Learning",2,"Endorsement Preparation Program, English Language Learning; Endorsement Preparation Program, English Language Learning (PreK-12); Master of Arts, English Language Learning; Master of Arts, English Language Learning (PreK-12)",4,108,False,False,perpetual,none,high,3,School of Education,School of Education | Teachers College,
AUA2,"Graphing, Proportional Reasoning and","Graphing, Proportional Reasoning and Equations/Inequalities | Graphing, Proportional Reasoning and",2017-01,2026-03,True,AP,"Master of Arts, Mathematics Education (K-6)",1,"Master of Arts, Mathematics Education (K-6)",1,108,False,False,perpetual,extraction_noise,high,4,School of Education,School of Education | Teachers College,PDF line-wrap artifact: shorter variant is a strict prefix of the canonical title.
AVA2,Geometry and Statistics,Geometry and Statistics,2017-01,2026-03,True,AP,"Master of Arts, Mathematics Education (K-6)",1,"Master of Arts, Mathematics Education (K-6)",1,108,False,False,perpetual,none,high,4,School of Education,School of Education | Teachers College,
BVT2,Physical Chemistry,Physical Chemistry,2017-01,2026-03,True,AP,Master of Arts Science Education (Secondary Chemistry),1,"Master of Arts Science Education (Secondary Chemistry); Master of Arts, Science Education (5-12, Chemistry)",2,108,False,False,perpetual,none,high,2,School of Education,School of Education | Teachers College,
BWT2,Inorganic Chemistry,Inorganic Chemistry,2017-01,2026-03,True,AP,Master of Arts Science Education (Secondary Chemistry),1,"Master of Arts Science Education (Secondary Chemistry); Master of Arts, Science Education (5-12, Chemistry)",2,108,False,False,perpetual,none,high,2,School of Education,School of Education | Teachers College,
BYT2,Physics: Mechanics,Physics: Mechanics,2017-01,2026-03,True,AP,Master of Arts Science Education (Secondary Physics),1,"Master of Arts Science Education (Secondary Physics); Master of Arts, Science Education (5-12, Physics)",2,108,False,False,perpetual,none,high,2,School of Education,School of Education | Teachers College,
BZT2,Physics: Waves and Optics,Physics: Waves and Optics,2017-01,2026-03,True,AP,Master of Arts Science Education (Secondary Physics),1,"Master of Arts Science Education (Secondary Physics); Master of Arts, Science Education (5-12, Physics)",2,108,False,False,perpetual,none,high,2,School of Education,School of Education | Teachers College,
C100,Introduction to Humanities,Introduction to Humanities,2017-01,2026-03,True,AP,"Bachelor of Science, Information Technology Management",1,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Interdisciplinary Studies (K-8); Bachelor of Arts, Mathematics (5-12); Bachelor of Arts, Mathematics (5-9); Bachelor of Arts, Science (5-12, Bio); Bachelor of Arts, Science (5-12, Chemistry); Bachelor of Arts, Science (5-12, Geo); Bachelor of Arts, Science (5-12, Physics); Bachelor of Arts, Science (5-9); Bachelor of Arts, Special Education; Bachelor of Arts, Special Education Mild to Moderate; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science Business Administration Accounting; Bachelor of Science Business Administration Healthcare Management; Bachelor of Science Business Administration Human Resource Management; Bachelor of Science Business Administration Information Technology Management; Bachelor of Science Business Administration Management [BSBAMGA]; Bachelor of Science Business Administration Management [BSBAMGB]; Bachelor of Science Business Administration Marketing; Bachelor of Science Business Administration, Accounting; Bachelor of Science Business Administration, Healthcare Management; Bachelor of Science Business Administration, Human Resource Management; Bachelor of Science Business Administration, Information Technology Management; Bachelor of Science Business Administration, Management; Bachelor of Science Business Administration, Management [BSBAMGA]; Bachelor of Science Business Administration, Management [BSBAMGB]; Bachelor of Science Business Administration, Management [BSBAMGC]; Bachelor of Science Business Administration, Marketing; Bachelor of Science, Accounting; Bachelor of Science, Business - Healthcare Management; Bachelor of Science, Business - Human Resource Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Business Management; Bachelor of Science, Cloud Computing; Bachelor of Science, Cloud and Systems Administration; Bachelor of Science, Computer Science; Bachelor of Science, Data Management/Data Analytics; Bachelor of Science, Health Information Management; Bachelor of Science, Healthcare Administration; Bachelor of Science, IT - Networks Administration Emphasis; Bachelor of Science, IT - Security Emphasis; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing Management; Bachelor of Science, Mathematics Education (Middle Grades); Bachelor of Science, Mathematics Education (Secondary); Bachelor of Science, Network Operations and Security; Bachelor of Science, Nursing [BSNU]; Bachelor of Science, Nursing [BSRN]; Bachelor of Science, Science Education (Middle Grades); Bachelor of Science, Science Education (Secondary Biological Science); Bachelor of Science, Science Education (Secondary Chemistry); Bachelor of Science, Science Education (Secondary Earth Science); Bachelor of Science, Science Education (Secondary Physics); Bachelor of Science, Software Development; Bachelor of Science, Software Development [BSITSWC]; Bachelor of Science, Software Development [BSITSW]; Master of Arts in Teaching programs are the choice for you. These teacher-prep programs qualify you to become; Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Education [MSRNNUEDGR]; Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Leadership and Management [MSRNNULMGR]; Master of Science, Nursing - Nursing Informatics; Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Nursing Informatics [MSRNNUNIGR]; Master of Science, Nursing - Nursing Informatics [[UNKNOWN]]",68,108,False,False,perpetual,none,high,3,School of Business,College of Business | College of Health Professions | College of Information Technology | Leavitt School of Health | School of Business | School of Education | Teachers College,
C121,Survey of United States History,Survey of United States History,2017-01,2026-03,True,AP,"Bachelor of Science, Information Technology Management",1,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Interdisciplinary Studies (K-8); Bachelor of Arts, Mathematics (5-12); Bachelor of Arts, Mathematics (5-9); Bachelor of Arts, Science (5-12, Bio); Bachelor of Arts, Science (5-12, Chemistry); Bachelor of Arts, Science (5-12, Geo); Bachelor of Arts, Science (5-12, Physics); Bachelor of Arts, Science (5-9); Bachelor of Arts, Special Education; Bachelor of Arts, Special Education Mild to Moderate; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science Business Administration Accounting; Bachelor of Science Business Administration Healthcare Management; Bachelor of Science Business Administration Human Resource Management; Bachelor of Science Business Administration Information Technology Management; Bachelor of Science Business Administration Management [BSBAMGA]; Bachelor of Science Business Administration Management [BSBAMGB]; Bachelor of Science Business Administration Marketing; Bachelor of Science Business Administration, Accounting; Bachelor of Science Business Administration, Healthcare Management; Bachelor of Science Business Administration, Human Resource Management; Bachelor of Science Business Administration, Information Technology Management; Bachelor of Science Business Administration, Management; Bachelor of Science Business Administration, Management [BSBAMGA]; Bachelor of Science Business Administration, Management [BSBAMGB]; Bachelor of Science Business Administration, Management [BSBAMGC]; Bachelor of Science Business Administration, Marketing; Bachelor of Science, Accounting; Bachelor of Science, Business - Healthcare Management; Bachelor of Science, Business - Human Resource Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Business Management; Bachelor of Science, Healthcare Administration; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing Management; Bachelor of Science, Mathematics Education (Middle Grades); Bachelor of Science, Mathematics Education (Secondary); Bachelor of Science, Science Education (Middle Grades); Bachelor of Science, Science Education (Secondary Biological Science); Bachelor of Science, Science Education (Secondary Chemistry); Bachelor of Science, Science Education (Secondary Earth Science); Bachelor of Science, Science Education (Secondary Physics); Master of Arts in Teaching programs are the choice for you. These teacher-prep programs qualify you to become",46,108,False,False,perpetual,none,high,3,School of Business,College of Business | School of Business | School of Education | Teachers College,
C165,Integrated Physical Sciences,Integrated Physical Sciences,2017-01,2026-03,True,AP,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education; Bachelor of Arts, Educational Studies in Secondary Mathematics Education; Bachelor of Arts, Educational Studies in Special and Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Cloud and Network Engineering; Bachelor of Science, Cloud and Network Engineering - Amazon Web Services; Bachelor of Science, Cloud and Network Engineering - Cisco; Bachelor of Science, Cloud and Network Engineering - Microsoft Azure; Bachelor of Science, Communications; Bachelor of Science, Finance; Bachelor of Science, Health Science; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, Mathematics Education (Secondary); Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design",24,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Educational Studies in Middle Grades Mathematics Education; Bachelor of Arts, Educational Studies in Middle Grades Science Education; Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education; Bachelor of Arts, Educational Studies in Secondary Biological Science Education; Bachelor of Arts, Educational Studies in Secondary Chemistry Science Education; Bachelor of Arts, Educational Studies in Secondary Earth Science Education; Bachelor of Arts, Educational Studies in Secondary Mathematics Education; Bachelor of Arts, Educational Studies in Secondary Physics Science Education; Bachelor of Arts, Educational Studies in Special and Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Interdisciplinary Studies (K-8); Bachelor of Arts, Mathematics (5-12); Bachelor of Arts, Mathematics (5-9); Bachelor of Arts, Science (5-12, Bio); Bachelor of Arts, Science (5-12, Chemistry); Bachelor of Arts, Science (5-12, Geo); Bachelor of Arts, Science (5-12, Physics); Bachelor of Arts, Science (5-9); Bachelor of Arts, Special Education; Bachelor of Arts, Special Education Mild to Moderate; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science Business Administration Accounting; Bachelor of Science Business Administration Healthcare Management; Bachelor of Science Business Administration Human Resource Management; Bachelor of Science Business Administration Information Technology Management; Bachelor of Science Business Administration Management [BSBAMGA]; Bachelor of Science Business Administration Management [BSBAMGB]; Bachelor of Science Business Administration Marketing; Bachelor of Science Business Administration, Accounting; Bachelor of Science Business Administration, Healthcare Management; Bachelor of Science Business Administration, Human Resource Management; Bachelor of Science Business Administration, Information Technology Management; Bachelor of Science Business Administration, Management; Bachelor of Science Business Administration, Management [BSBAMGA]; Bachelor of Science Business Administration, Management [BSBAMGB]; Bachelor of Science Business Administration, Management [BSBAMGC]; Bachelor of Science Business Administration, Marketing; Bachelor of Science Supply Chain and Operations Management; Bachelor of Science, Accounting; Bachelor of Science, Business - Healthcare Management; Bachelor of Science, Business - Human Resource Management; Bachelor of Science, Business - Information Technology Management; Bachelor of Science, Business Management; Bachelor of Science, Cloud Computing; Bachelor of Science, Cloud Computing - Amazon Web Services track; Bachelor of Science, Cloud Computing - Microsoft Azure track; Bachelor of Science, Cloud Computing – Amazon Web Services track; Bachelor of Science, Cloud Computing – Microsoft Azure track; Bachelor of Science, Cloud and Network Engineering; Bachelor of Science, Cloud and Network Engineering - Amazon Web Services; Bachelor of Science, Cloud and Network Engineering - Cisco; Bachelor of Science, Cloud and Network Engineering - Microsoft Azure; Bachelor of Science, Cloud and Systems Administration; Bachelor of Science, Communications; Bachelor of Science, Computer Science; Bachelor of Science, Cybersecurity and Information Assurance; Bachelor of Science, Data Management/Data Analytics; Bachelor of Science, Finance; Bachelor of Science, Health Science; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, IT - Networks Administration Emphasis; Bachelor of Science, IT - Security Emphasis; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology (BSIT to MSITM); Bachelor of Science, Information Technology Management; Bachelor of Science, Management; Bachelor of Science, Marketing; Bachelor of Science, Marketing Management; Bachelor of Science, Mathematics Education (Middle Grades); Bachelor of Science, Mathematics Education (Secondary); Bachelor of Science, Network Engineering and Security; Bachelor of Science, Network Engineering and Security Cisco Track; Bachelor of Science, Network Operations and Security; Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Science Education (Middle Grades); Bachelor of Science, Science Education (Secondary Biological Science); Bachelor of Science, Science Education (Secondary Chemistry); Bachelor of Science, Science Education (Secondary Earth Science); Bachelor of Science, Science Education (Secondary Physics); Bachelor of Science, Software Development; Bachelor of Science, Software Development [BSITSWC]; Bachelor of Science, Software Development [BSITSW]; Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design; Master of Arts in Teaching programs are the choice for you. These teacher-prep programs qualify you to become; Master of Science, Information Technology Management portion",89,108,False,False,perpetual,none,high,3,Leavitt School of Health; School of Business; School of Education; School of Technology,College of Business | College of Information Technology | Leavitt School of Health | School of Business | School of Education | School of Technology | Teachers College,
